1565114760682;5;1;2019-06-06 20:06:00.682
1565114760783;5;1;2019-06-06 20:06:00.783
1565114760883;5;1;2019-06-06 20:06:00.883
1565114760983;5;1;2019-06-06 20:06:00.983
1565114761084;5;1;2019-06-06 20:06:01.084
1565114761185;5;1;2019-06-06 20:06:01.185
1565114761285;5;1;2019-06-06 20:06:01.285
1565114761385;5;1;2019-06-06 20:06:01.385
1565114761485;5;1;2019-06-06 20:06:01.485
1565114761586;21;1;2019-06-06 20:06:01.586
1565114761687;0;1;2019-06-06 20:06:01.687
1565114761787;0;1;2019-06-06 20:06:01.787
1565114761887;0;1;2019-06-06 20:06:01.887
1565114761987;0;1;2019-06-06 20:06:01.987
1565114762088;5;1;2019-06-06 20:06:02.088
